year,capex_specific_conversion
2022,6313.689421824793
2023,6301.281856892027
2024,6288.87429195926
2025,6276.466727026493
2026,6238.167336322104
2027,6199.867945617716
2028,6161.568554913328
2029,6123.269164208939
2030,6084.969773504551
2031,6064.701729819087
2032,6044.433686133622
2033,6024.165642448158
2034,6003.897598762694
2035,5983.629555077229
2036,5940.038070497911
2037,5896.446585918592
2038,5852.855101339273
2039,5809.263616759954
2040,5765.672132180635
2041,5746.074905828904
2042,5726.4776794771715
2043,5706.88045312544
2044,5687.283226773708
2045,5667.686000421976
2046,5649.88449846779
2047,5632.082996513604
2048,5614.281494559416
2049,5596.47999260523
2050,5578.678490651044
