year,opex_specific_fixed
2022,125.92618000810545
2023,125.64502419199874
2024,125.36386837589205
2025,125.08271255978536
2026,123.61847970225087
2027,122.15424684471637
2028,120.69001398718187
2029,119.22578112964737
2030,117.76154827211288
2031,117.05471434769854
2032,116.34788042328418
2033,115.64104649886984
2034,114.93421257445549
2035,114.22737865004115
2036,112.47141339107556
2037,110.71544813210997
2038,108.95948287314438
2039,107.20351761417879
2040,105.4475523552132
2041,104.8900353524451
2042,104.33251834967699
2043,103.77500134690887
2044,103.21748434414076
2045,102.65996734137265
2046,101.90425568554026
2047,101.14854402970788
2048,100.39283237387549
2049,99.6371207180431
2050,98.88140906221072
