year,capex_specific_conversion
2022,1733.7406693667044
2023,1731.366483362735
2024,1728.9922973587652
2025,1726.6181113547955
2026,1724.2439253508257
2027,1721.869739346856
2028,1719.4955533428865
2029,1717.1213673389168
2030,1714.747181334947
2031,1712.3729953309773
2032,1709.9988093270076
2033,1707.6246233230381
2034,1705.2504373190684
2035,1702.8762513150987
2036,1700.4246187217168
2037,1697.9729861283352
2038,1695.5213535349533
2039,1693.0697209415716
2040,1690.6180883481898
2041,1687.9804327359184
2042,1685.342777123647
2043,1682.7051215113756
2044,1680.0674658991043
2045,1677.429810286833
2046,1674.0848887925247
2047,1670.7399672982167
2048,1667.3950458039085
2049,1664.0501243096005
2050,1660.7052028152923
