year,opex_specific_fixed
2022,63.06309656336415
2023,63.06309656336415
2024,63.06309656336415
2025,63.06309656336415
2026,63.06309656336415
2027,63.06309656336415
2028,63.06309656336415
2029,63.06309656336415
2030,63.06309656336415
2031,63.06309656336415
2032,63.06309656336415
2033,63.06309656336415
2034,63.06309656336415
2035,63.06309656336415
2036,63.05964465823607
2037,63.05619275310798
2038,63.0527408479799
2039,63.04928894285181
2040,63.04583703772373
2041,63.034093820896565
2042,63.0223506040694
2043,63.010607387242246
2044,62.99886417041508
2045,62.98712095358792
2046,62.9392529789798
2047,62.891385004371685
2048,62.84351702976356
2049,62.795649055155444
2050,62.74778108054733
