year,opex_specific_variable
2022,1.0
2023,1.0
2024,1.0
2025,1.0
2026,1.0
2027,1.0
2028,1.0
2029,1.0
2030,1.0
2031,1.0
2032,1.0
2033,1.0
2034,1.0
2035,1.0
2036,0.9999452626763321
2037,0.9998905253526643
2038,0.9998357880289966
2039,0.9997810507053285
2040,0.9997263133816608
2041,0.9995400996137505
2042,0.9993538858458403
2043,0.9991676720779296
2044,0.9989814583100194
2045,0.9987952445421089
2046,0.9980361956336871
2047,0.9972771467252652
2048,0.9965180978168434
2049,0.9957590489084216
2050,0.9949999999999998
