year,capex_specific_conversion
2022,543.5962549146192
2023,524.9380168453648
2024,506.27977877611033
2025,487.62154070685585
2026,473.64211001826914
2027,459.6626793296824
2028,445.6832486410957
2029,431.703817952509
2030,417.72438726392227
2031,409.310019971215
2032,400.89565267850776
2033,392.48128538580056
2034,384.0669180930933
2035,375.65255080038605
2036,370.3448987812917
2037,365.0372467621974
2038,359.72959474310306
2039,354.4219427240088
2040,349.1142907049144
2041,345.5299388562804
2042,341.9455870076464
2043,338.3612351590123
2044,334.7768833103783
2045,331.1925314617443
2046,328.3511227244454
2047,325.50971398714654
2048,322.6683052498477
2049,319.82689651254884
2050,316.98548777524996
