time,AT,BE,BG,CH,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,NL,NO,PL,PT,RO,SE,SI,SK,UK
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.002,0.006,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0.0,0.0,0.002,0.0
8,0.025,0.0,0.148,0.027,0.004,0.001,0.0,0.0,0.06,0.009,0.0,0.008,0.101,0.143,0.0,0.106,0.0,0.0,0.001,0.0,0.0,0.012,0.0,0.149,0.0,0.07,0.078,0.0
9,0.079,0.004,0.281,0.148,0.026,0.013,0.014,0.006,0.121,0.187,0.0,0.062,0.26,0.288,0.0,0.254,0.006,0.015,0.005,0.006,0.0,0.031,0.115,0.286,0.006,0.203,0.128,0.002
10,0.137,0.015,0.383,0.232,0.059,0.04,0.067,0.018,0.176,0.361,0.002,0.137,0.388,0.379,0.004,0.364,0.016,0.053,0.019,0.052,0.018,0.045,0.304,0.39,0.033,0.289,0.131,0.057
11,0.18,0.022,0.414,0.329,0.082,0.07,0.13,0.025,0.213,0.479,0.004,0.204,0.445,0.372,0.02,0.427,0.022,0.103,0.029,0.142,0.041,0.056,0.45,0.426,0.058,0.29,0.124,0.136
12,0.198,0.02,0.398,0.4,0.082,0.087,0.141,0.02,0.22,0.539,0.002,0.25,0.399,0.322,0.043,0.434,0.018,0.085,0.025,0.234,0.043,0.057,0.529,0.394,0.057,0.224,0.125,0.194
13,0.192,0.021,0.327,0.361,0.063,0.088,0.121,0.006,0.19,0.545,0.0,0.262,0.31,0.241,0.057,0.394,0.013,0.029,0.01,0.26,0.025,0.049,0.551,0.292,0.036,0.159,0.11,0.208
14,0.156,0.021,0.202,0.295,0.029,0.057,0.054,0.0,0.125,0.501,0.0,0.231,0.192,0.131,0.054,0.311,0.002,0.011,0.0,0.19,0.007,0.023,0.524,0.142,0.009,0.111,0.06,0.177
15,0.072,0.024,0.042,0.172,0.004,0.015,0.005,0.0,0.042,0.406,0.0,0.153,0.072,0.022,0.035,0.176,0.0,0.002,0.0,0.069,0.0,0.001,0.445,0.015,0.0,0.047,0.008,0.099
16,0.001,0.003,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.254,0.0,0.05,0.0,0.0,0.009,0.027,0.0,0.0,0.0,0.001,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.015
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.123,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
