time,LT,AT,UK,CZ,RO,IT,EL,BG,CH,PT,SK,BE,IE,PL,FI,SE,EE,ES,NO,HR,HU,DE,SI,FR,NL,DK,LV
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0021483799132052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0021081514017945,0.0,0.0001528228644679,0.0004095371360616,0.0,0.0,0.0,0.0,0.0,0.0,0.001436748622665,0.0,0.0,0.0,0.0,0.0,0.0017528127835788,0.0017627399271526,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0005518164658347,0.0,0.0278203935266585,0.0027238846884177,0.0751438736127979,0.0323848506958224,0.0,0.0,0.0,0.0,0.0,0.0,0.0040114802162402,0.0013368712023981,0.0,0.0027917446902676,0.0,0.000579818350189,9.773663369074402e-05,0.0004959031279168,0.0,0.0003439894893486,0.0,0.0023659592938085,0.0
7,0.0051381422051665,0.0276326909844436,0.0016743401458786,0.010738011107324,0.1552336310823992,0.1083574659905459,0.2104709406907674,0.1616241700618166,0.0078915742449501,0.0,0.0195386256865796,0.0,0.0,0.0174580477627849,0.0,0.0008676680116488,0.0,0.0010899016036019,0.002909190313283,0.0803198005417364,0.0721909182574656,0.0026041777459327,0.0445693307555716,0.0074372315237675,0.0,0.0,1.8191790203735368e-05
8,0.066410437730815,0.1686955207195504,1.688308140671593e-05,0.073150550935428,0.2853221762773999,0.2673773471452976,0.3239858031697717,0.2952263694935782,0.1317651158089194,0.0403346936531744,0.0777225784147013,0.0026406897671221,0.0,0.0597525767690972,0.0052042166157432,0.0096730314568028,0.0155978910554077,0.1237360042411349,0.0018823692642851,0.1957283214825219,0.1911896614077225,0.0367257932099737,0.1719454639067797,0.1131383536782538,0.0008494550454799,0.007893024803367,0.0287066986869557
9,0.1330543188325407,0.3677112348308275,0.0190220141772166,0.1549402926212996,0.4019063412444008,0.4183513673526024,0.4235553987535813,0.433087033650577,0.3567103059235529,0.176400041438926,0.1482333178788914,0.0242653002480721,0.0206974149236262,0.0888702341366457,0.0366428533837672,0.0627713098161953,0.0463522279197123,0.3326720313339946,0.0174814094340868,0.3141108612999718,0.3091095920402383,0.087325861339816,0.3000467559091409,0.2655107383168927,0.0224450945103808,0.0576107640873393,0.0679667311490995
