year,opex_specific_fixed
2022,11.612605447615909
2023,11.339762362173209
2024,11.066919276730511
2025,10.794076191287811
2026,10.574261180731744
2027,10.354446170175677
2028,10.134631159619609
2029,9.914816149063542
2030,9.695001138507475
2031,9.507235349881176
2032,9.319469561254879
2033,9.13170377262858
2034,8.943937984002282
2035,8.756172195375983
2036,8.594771992573767
2037,8.433371789771552
2038,8.271971586969336
2039,8.110571384167121
2040,7.949171181364905
2041,7.865671492679135
2042,7.782171803993364
2043,7.698672115307593
2044,7.615172426621823
2045,7.531672737936052
2046,7.4593150934199155
2047,7.386957448903779
2048,7.314599804387641
2049,7.2422421598715045
2050,7.169884515355368
