year,opex_specific_variable
2022,1.0
2023,0.9695629832539583
2024,0.9391259665079167
2025,0.9086889497618749
2026,0.887920874727138
2027,0.867152799692401
2028,0.8463847246576643
2029,0.8256166496229274
2030,0.8048485745881905
2031,0.7921108869793609
2032,0.7793731993705313
2033,0.7666355117617017
2034,0.7538978241528722
2035,0.7411601365440427
2036,0.7342421096809496
2037,0.7273240828178564
2038,0.7204060559547635
2039,0.7134880290916703
2040,0.7065700022285772
2041,0.703293944848186
2042,0.7000178874677944
2043,0.696741830087403
2044,0.6934657727070114
2045,0.69018971532662
2046,0.6888577628449148
2047,0.6875258103632095
2048,0.6861938578815042
2049,0.684861905399799
2050,0.6835299529180936
