year,capex_specific_conversion
2022,2921.9083130985696
2023,2920.560758850293
2024,2919.213204602016
2025,2917.8656503537395
2026,2916.1743977440956
2027,2914.4831451344517
2028,2912.7918925248073
2029,2911.1006399151634
2030,2909.4093873055194
2031,2907.6861853508144
2032,2905.9629833961094
2033,2904.2397814414044
2034,2902.5165794866994
2035,2900.7933775319943
2036,2898.6756475755233
2037,2896.557917619052
2038,2894.4401876625816
2039,2892.3224577061105
2040,2890.2047277496395
2041,2887.8588613008765
2042,2885.5129948521135
2043,2883.16712840335
2044,2880.821261954587
2045,2878.475395505824
2046,2876.205552496001
2047,2873.9357094861784
2048,2871.6658664763554
2049,2869.396023466533
2050,2867.12618045671
