time,AT,BE,BG,CH,CZ,DE,EL,ES,FI,FR,HR,HU,IE,IT,LV,PT,RO,SE,SI,SK
0,0.188978156,0.136137295,0.139876003,0.109191701,0.072829534,0.38967588,0.082669965,0.1371478,0.704134323,0.195098837,0.180579043,0.283860188,0.964478681,0.187990471,0.092918571,0.218051321,0.17862511,0.711837692,0.213491373,0.094452308
1,0.187970665,0.136499861,0.139876003,0.113454417,0.071799505,0.390302721,0.082669965,0.137043045,0.704792825,0.209809237,0.180579043,0.285661176,0.964723745,0.187102913,0.084762784,0.201214567,0.172274476,0.711605321,0.214388557,0.092766689
2,0.190183866,0.139454945,0.139876003,0.116097699,0.069787909,0.381045082,0.082669965,0.137043045,0.705443429,0.223868932,0.180650032,0.265921544,0.964802711,0.187425127,0.076958979,0.222954599,0.169031162,0.712055717,0.215622239,0.090891338
3,0.192979561,0.165659564,0.139263632,0.117049798,0.070024735,0.387311099,0.084219554,0.13772613,0.703306464,0.22913339,0.18138961,0.22265771,0.964799747,0.188134034,0.074549835,0.187531664,0.173991127,0.711647834,0.215328377,0.090427707
4,0.19529378,0.169162168,0.139876003,0.116170968,0.069281447,0.395679383,0.082669965,0.142396905,0.709187444,0.253617572,0.180650032,0.197797989,0.964999484,0.190135695,0.072449495,0.227404295,0.173445168,0.711980354,0.213799153,0.089971796
5,0.1966682,0.136968752,0.139263632,0.110788126,0.069662345,0.407490701,0.084201813,0.137214052,0.707687987,0.236531599,0.18138961,0.209366092,0.965210257,0.189582201,0.068807284,0.21387224,0.173689104,0.71191264,0.213072966,0.090294208
6,0.195001294,0.133122209,0.139263632,0.105933565,0.069884627,0.411424134,0.084201813,0.136370504,0.697345296,0.228060415,0.18138961,0.200100766,0.965262258,0.190396731,0.064529275,0.207136645,0.177903267,0.711608097,0.212788985,0.091043277
7,0.190283374,0.130785095,0.139876003,0.102777271,0.070763842,0.398011376,0.082641103,0.165980627,0.69968585,0.211565526,0.180650032,0.190656511,0.965381183,0.189572358,0.066541981,0.234801599,0.188310182,0.711183059,0.21465795,0.092341311
8,0.192911932,0.131021345,0.139263632,0.09891073,0.069962868,0.395552575,0.084201813,0.183650164,0.701506479,0.195694381,0.18138961,0.176195472,0.965303065,0.189461055,0.072478719,0.276933754,0.187302773,0.711282158,0.28299848,0.091249943
9,0.195490474,0.129272764,0.139263632,0.096904497,0.069747381,0.388760413,0.084201813,0.27911941,0.707832474,0.188700876,0.18138961,0.163764273,0.965503401,0.191098396,0.077081475,0.283309886,0.18871248,0.711203443,0.304004496,0.092376211
10,0.197304491,0.128091327,0.139263632,0.097407817,0.069861472,0.395980997,0.084201813,0.238411701,0.704404915,0.185224677,0.18138961,0.164673625,0.965913445,0.19063451,0.084085367,0.241790298,0.190426519,0.711100228,0.291862998,0.091720362
11,0.202108714,0.128899822,0.139263632,0.103279592,0.071182791,0.419365857,0.084248909,0.276116914,0.697519625,0.19445281,0.181808688,0.166642672,0.96676268,0.190560572,0.098642382,0.3833812,0.179801774,0.710941239,0.265812834,0.093186475
12,0.199840693,0.129018538,0.139263632,0.105974337,0.072984914,0.44102446,0.084347083,0.397797531,0.696025349,0.22380642,0.181913457,0.174785368,0.968850363,0.190540938,0.094220113,0.495451925,0.167704453,0.710770431,0.230709104,0.095024118
