year,opex_specific_fixed
2022,36.94325933651421
2023,36.91084860054652
2024,36.878437864578835
2025,36.84602712861115
2026,36.809492012307054
2027,36.77295689600297
2028,36.73642177969887
2029,36.699886663394786
2030,36.66335154709069
2031,36.64439731795849
2032,36.625443088826295
2033,36.60648885969409
2034,36.58753463056189
2035,36.56858040142969
2036,36.5448918362763
2037,36.52120327112291
2038,36.49751470596952
2039,36.47382614081613
2040,36.45013757566274
2041,36.42371669452649
2042,36.397295813390244
2043,36.370874932254004
2044,36.34445405111776
2045,36.31803316998151
2046,36.29252457011255
2047,36.267015970243584
2048,36.24150737037463
2049,36.215998770505664
2050,36.1904901706367
