year,opex_specific_variable
2022,1.0
2023,0.9998379966257762
2024,0.9996759932515525
2025,0.999513989877329
2026,0.9992752369506448
2027,0.9990364840239606
2028,0.9987977310972764
2029,0.9985589781705922
2030,0.9983202252439082
2031,0.9979898017008166
2032,0.997659378157725
2033,0.9973289546146334
2034,0.9969985310715419
2035,0.9966681075284503
2036,0.9962503754632892
2037,0.9958326433981282
2038,0.9954149113329671
2039,0.994997179267806
2040,0.9945794472026449
2041,0.9941120945634434
2042,0.993644741924242
2043,0.9931773892850405
2044,0.992710036645839
2045,0.9922426840066376
2046,0.9917936917363035
2047,0.991344699465969
2048,0.9908957071956348
2049,0.9904467149253003
2050,0.9899977226549662
