year,capex_specific_conversion
2022,3476.5661085351603
2023,3461.9777284383504
2024,3447.38934834154
2025,3432.80096824473
2026,3416.6754917541257
2027,3400.5500152635213
2028,3384.424538772917
2029,3368.2990622823127
2030,3352.1735857917083
2031,3334.5351824210866
2032,3316.896779050465
2033,3299.2583756798426
2034,3281.619972309221
2035,3263.981568938599
2036,3246.700560792869
2037,3229.4195526471394
2038,3212.1385445014093
2039,3194.8575363556797
2040,3177.5765282099496
2041,3155.855882873286
2042,3134.1352375366228
2043,3112.4145921999593
2044,3090.693946863296
2045,3068.9733015266324
2046,3049.44806100975
2047,3029.9228204928672
2048,3010.397579975984
2049,2990.8723394591016
2050,2971.347098942219
