year,opex_specific_fixed
2022,123.17900675314964
2023,122.3301408072084
2024,121.48127486126717
2025,120.63240891532594
2026,119.73505872232663
2027,118.83770852932732
2028,117.94035833632802
2029,117.0430081433287
2030,116.1456579503294
2031,115.35291475527886
2032,114.56017156022833
2033,113.76742836517778
2034,112.97468517012724
2035,112.18194197507671
2036,111.47633436764441
2037,110.77072676021211
2038,110.06511915277983
2039,109.35951154534753
2040,108.65390393791523
2041,107.82786081468713
2042,107.00181769145901
2043,106.1757745682309
2044,105.34973144500279
2045,104.52368832177469
2046,103.79190419967735
2047,103.06012007758001
2048,102.32833595548267
2049,101.59655183338533
2050,100.864767711288
