year,opex_specific_variable
2022,1.0
2023,0.9996762660898377
2024,0.9993525321796755
2025,0.9990287982695133
2026,0.9983148092817037
2027,0.9976008202938941
2028,0.9968868313060845
2029,0.9961728423182749
2030,0.9954588533304651
2031,0.9939526748258495
2032,0.9924464963212336
2033,0.9909403178166177
2034,0.9894341393120019
2035,0.9879279608073862
2036,0.9850812652410779
2037,0.9822345696747695
2038,0.9793878741084612
2039,0.9765411785421528
2040,0.9736944829758445
2041,0.9694539166684978
2042,0.9652133503611511
2043,0.9609727840538044
2044,0.9567322177464577
2045,0.952491651439111
2046,0.9483366298727616
2047,0.9441816083064122
2048,0.9400265867400627
2049,0.9358715651737133
2050,0.9317165436073639
