year,capex_specific_conversion
2022,2397.2648885662156
2023,2371.9674305150165
2024,2346.669972463818
2025,2321.372514412619
2026,2301.0465710163235
2027,2280.7206276200277
2028,2260.3946842237324
2029,2240.0687408274366
2030,2219.7427974311413
2031,2198.058062221075
2032,2176.3733270110088
2033,2154.688591800943
2034,2133.0038565908767
2035,2111.3191213808104
2036,2092.810383559076
2037,2074.3016457373415
2038,2055.792907915607
2039,2037.2841700938723
2040,2018.7754322721378
2041,2008.5501654047955
2042,1998.3248985374535
2043,1988.0996316701112
2044,1977.8743648027692
2045,1967.6490979354269
2046,1959.3705332599723
2047,1951.0919685845179
2048,1942.8134039090633
2049,1934.5348392336089
2050,1926.2562745581542
