time,LT,UK,RO,IT,EL,PT,BG,BE,IE,PL,FI,SE,EE,ES,NO,HR,DE,SI,FR,NL,DK,LV
0,0.6236948151683109,0.6905067209481448,0.8812734620335854,0.7081652651669115,0.8612701989044638,0.962121008785796,0.9311833096895632,0.5838316838880129,0.845989056920498,0.2093306220730698,0.1575505861310488,0.3439138007938748,0.1008394402419772,0.9673505369277487,0.5228960406631112,0.113370255054978,0.7570375777342886,0.0,0.9558091984879432,0.7647768128232998,0.8105509386197984,0.3182289365278191
1,0.6703611366926325,0.7120502793079971,0.8913975059933114,0.7098500517375754,0.8797337144446581,0.9647071209795924,0.963168606681377,0.4327907430395423,0.841706492627624,0.2470918745463544,0.1609957359799997,0.3751144549223965,0.1038036408274692,0.9643424188105484,0.5037334294738343,0.0979983992158545,0.7834222986258413,0.0,0.9471808258086084,0.6906749501745686,0.8253341958300883,0.3413675577228837
2,0.7003219010104713,0.7293262464438641,0.8602514543366397,0.7060828108032282,0.8946098444045829,0.966795887193401,0.982822627084908,0.3199271499894566,0.8402914388089063,0.2850276629404347,0.1645060411699425,0.4009802739339594,0.106631841121045,0.9627496221625164,0.4871045400427941,0.086341961158687,0.8039080952679208,0.0,0.9404624037163756,0.6301563509995801,0.8381501907448815,0.3576023282544756
3,0.7118549040893268,0.7371269874863556,0.778917243374003,0.6956679560975942,0.9033174485441752,0.9704445051688472,0.9920787991106244,0.2463281346696785,0.851038170384218,0.3232021047269396,0.1676837385040713,0.4228831721990166,0.1101368216448637,0.9659747619719408,0.4728269072979794,0.0772447928781242,0.8114615683546477,0.0,0.9356256718725844,0.5722203616722603,0.850638584422524,0.3672167094458165
4,0.713863369980464,0.7385779470926923,0.6925871636916175,0.6815387312929019,0.9016010145843162,0.9722921568140248,0.9962615119553956,0.1922014285562303,0.8682636570873817,0.3640627206226181,0.1706058777653256,0.4430004327455314,0.1134819992438656,0.976710865252271,0.4620351413591626,0.0688415294236321,0.8070701630174968,0.0,0.9346113450897892,0.5079125952047701,0.8659281054668322,0.3711290215831595
5,0.7103894104687998,0.7358250863722378,0.6276710809185598,0.6694637042188726,0.8948658956870976,0.9725865042253452,0.9968306502256544,0.1495317265835362,0.8839202678474231,0.4097935282542777,0.1729592559177099,0.4599468248138497,0.1176074538023692,0.9860720376192744,0.4525931379014961,0.0693799473320697,0.7992734201078304,0.0149932312765087,0.9315929992465348,0.4450296597351491,0.8829482443302524,0.3720194267510239
6,0.6938107173758294,0.7256773379521102,0.6090107637018717,0.6592731539893081,0.8725139569507284,0.9720569433182092,0.9923429344635613,0.1154826970305889,0.8903822860917772,0.4580211991743226,0.1741477688216418,0.472952224144003,0.1217385594007572,0.9915561113246666,0.4445034699985473,0.0881811951952638,0.7871726375025085,0.031208989125993,0.9225917721674646,0.3829124784729541,0.9008944749775684,0.3668940240864578
7,0.6673117175968536,0.7076758040711151,0.6211933005900834,0.6502007165866769,0.8431461884828176,0.9703361119321284,0.9798873603484306,0.0908357313423684,0.8934157970043909,0.5017630683375951,0.1729207281644019,0.4777749142718064,0.1244219852077271,0.9944997258740002,0.4380980525866406,0.1439042434176681,0.7729961713135935,0.0316623042657162,0.9096042446892912,0.3267272197903417,0.9155727532466544,0.3569972955584612
8,0.630163229756628,0.6836368671222585,0.6435739557079259,0.6416968956263844,0.8168190083312197,0.9657202534038494,0.969641784804656,0.0653988380774051,0.890087671464865,0.5271542991902297,0.1680434535100708,0.4748564000239255,0.1241591454810575,0.9951627449369082,0.4341268837503366,0.2436505678101321,0.7589125436602616,0.0194972496098704,0.8940938648629942,0.2853537087716385,0.9274010773064798,0.3402966303345045
9,0.5817816174746739,0.655998326609673,0.6961708140591147,0.6408566191247798,0.7914083404467285,0.9591250640685244,0.9569006900783456,0.0385315670989191,0.8755026476137937,0.5343413964466139,0.1605874002296026,0.4635063344740464,0.1208467971962951,0.9951730558294,0.4297087904467963,0.3777581858656957,0.7436812478495414,0.0439952565498289,0.887173578287533,0.2566096457126205,0.9355349500289528,0.3165635934951072
