year,opex_specific_fixed
2022,49.89032269823441
2023,48.95231916805125
2024,48.01431563786808
2025,47.07631210768491
2026,46.351162906161896
2027,45.62601370463888
2028,44.900864503115855
2029,44.17571530159284
2030,43.45056610006982
2031,42.942470232600364
2032,42.43437436513091
2033,41.92627849766144
2034,41.418182630191986
2035,40.91008676272253
2036,40.49867605245955
2037,40.087265342196574
2038,39.67585463193359
2039,39.26444392167061
2040,38.853033211407634
2041,38.66948961462725
2042,38.48594601784687
2043,38.30240242106649
2044,38.11885882428611
2045,37.935315227505725
2046,37.810102777802776
2047,37.684890328099826
2048,37.55967787839687
2049,37.43446542869392
2050,37.30925297899097
