year,opex_specific_variable
2022,1.0
2023,0.9704174383027175
2024,0.9408348766054351
2025,0.9112523149081526
2026,0.8985312323069767
2027,0.8858101497058007
2028,0.873089067104625
2029,0.8603679845034489
2030,0.847646901902273
2031,0.8370230605841544
2032,0.826399219266036
2033,0.8157753779479175
2034,0.8051515366297989
2035,0.7945276953116803
2036,0.7850083207758837
2037,0.775488946240087
2038,0.7659695717042903
2039,0.7564501971684935
2040,0.7469308226326967
2041,0.7430151054535307
2042,0.7390993882743644
2043,0.7351836710951982
2044,0.7312679539160322
2045,0.7273522367368659
2046,0.7240632263058092
2047,0.7207742158747527
2048,0.7174852054436962
2049,0.7141961950126396
2050,0.7109071845815831
