time,LT,AT,UK,CZ,RO,IT,EL,BG,CH,PT,SK,BE,IE,PL,FI,SE,EE,ES,NO,HR,HU,DE,SI,FR,NL,DK,LV
0,0.5032763652531075,0.0782637567104967,0.8644742563554627,0.2266377410347652,0.0405925224696711,0.2167302397564197,0.5153476656995416,0.1407669380324763,0.0742182907503228,0.3508243824199754,0.2071578508649691,0.8109183556532378,0.9716995803283636,0.4735679172871779,0.6356096011138392,0.6629081609250971,0.9157741113952256,0.5059732905827736,0.6049894335089179,0.0210028411620772,0.0598677242684616,0.5817865924377799,0.0,0.577490090089929,0.8370132067360196,0.7235013575730442,0.8029692897655842
1,0.4971695087905939,0.0660649907604503,0.8818313048499679,0.207508292871744,0.0381547199103953,0.2078697773115273,0.5024648108282807,0.141011600685382,0.0697257186978601,0.3189278459063964,0.1846044582410154,0.8119306614600481,0.9732298117749028,0.458879646450126,0.6229435343408816,0.6121926180703401,0.9264142007044802,0.4822605991827783,0.6204302229499737,0.0191258778697525,0.0508254956691853,0.5686554467567579,0.0,0.5751755286724871,0.8333944781043442,0.6328536285885223,0.8017495600007163
2,0.4732453973629861,0.0539438383401658,0.893493328925683,0.1897728723116157,0.0354129864203124,0.1997287884300188,0.4924530728355799,0.14057796877379,0.0672513339700353,0.3044878279012289,0.1641258138917287,0.8052039664854365,0.9843984089327532,0.4416259229983362,0.6331459873122254,0.5775651213190026,0.931102224937136,0.4576497183820502,0.6373042051807972,0.0178273301256996,0.0405639480603034,0.5554556788604391,0.0,0.5638675976346524,0.8280960925792441,0.631661852747729,0.8024221091931414
3,0.4533285315090049,0.0419751801030226,0.9040918223626648,0.1702257385716741,0.0317921326066188,0.1981417075564094,0.4842280333993345,0.1429459647550911,0.0643468772567577,0.2982497713128662,0.145011672422892,0.7938722277889971,0.9915474111163868,0.4239976331600062,0.6174051679052099,0.5404079346846048,0.9218122064047866,0.4533011559821667,0.6501513861973522,0.0175891348875233,0.0303625347507987,0.5410040307441839,0.0,0.5500145577780611,0.8174357640391153,0.6609799748992821,0.8003865936347008
4,0.4431263714639808,0.0308983823345661,0.9163426168665504,0.1512128776815278,0.0288878316470936,0.198917754619127,0.4763967317949115,0.1540652956910217,0.0606058959725058,0.2947215050829918,0.1262712569049289,0.782795707999626,0.995053146372904,0.4070607015078199,0.6036318378548239,0.5209702380239765,0.9166642431401384,0.4483967335094476,0.6583443370879604,0.0180204749933589,0.0223658368937166,0.5290028714301712,0.0,0.5395698391728407,0.8058872691253224,0.6820313027206788,0.7969400850407149
5,0.4394067006963829,0.0224474340222182,0.924654472249173,0.1335677539618022,0.0263306864339762,0.2063831804599714,0.4666104533564167,0.1585457534929318,0.0566338378590354,0.2893543828898236,0.1117770562489604,0.7749144505306202,0.9960703838606748,0.3927245099367429,0.6021573297516862,0.5021367335930697,0.9088681446835432,0.4456591055884931,0.6757364464825271,0.0185272681141764,0.0182868980951714,0.5195495649093576,0.0,0.5366792496747931,0.7951360620054762,0.7028069192826093,0.7922307553908545
6,0.4445734811127663,0.0150813148004551,0.9294518566392842,0.1188823877114065,0.025037935235961,0.2131338488758874,0.4477334511943839,0.1488143893285645,0.0503006060845644,0.2777529540103949,0.0982471201933789,0.770554326513887,0.9964839410377624,0.38107173771776,0.5778719767213014,0.4772744856017989,0.8261449246994461,0.4574196311021795,0.682422193646563,0.0200349850661371,0.0161909091607675,0.5130386018678713,0.0,0.5368123586558984,0.78676308420845,0.7206736914296367,0.7833430762690596
7,0.4309320472780206,0.0085011593006683,0.9358341789214024,0.0971197540804187,0.0199269085182317,0.2180227309444638,0.4230232148506624,0.1431616708644792,0.0448413569226475,0.2601411660972721,0.0670454582230507,0.7693103459613401,0.9965633241762368,0.3600183895741259,0.5570973102443098,0.4548760016384532,0.7579831732902202,0.461889639352798,0.6778448504703696,0.0187527652055242,0.011236327579775,0.5030577512664907,0.0,0.5439731381538224,0.7806543919217134,0.7397815361825352,0.7658209193804113
8,0.3854176923693886,0.0024533517964813,0.943134584318076,0.0526776395560569,0.0141453825681328,0.2253715355113069,0.395935706360516,0.138598235615901,0.0319602735346479,0.2368706747478853,0.0447054322512963,0.7422142771905749,0.9959825197576104,0.3031046683318742,0.5347533914216948,0.4324076662146519,0.6919951719595843,0.454109089082813,0.6701972561717094,0.0150436081965896,0.0076873178783867,0.4554788928761085,0.0,0.5331797001855234,0.7641346775800618,0.7679617135308292,0.735239614095477
9,0.3510199513221596,0.0,0.949108449971291,0.0360115699302744,0.0093330882263755,0.2168773129506778,0.3649818171943494,0.1332451221143266,0.0171856956888973,0.199825922925053,0.035487780855192,0.6784980945358965,0.9954656013802796,0.2593286912845522,0.498979435446841,0.4119014936786023,0.5959158276431076,0.4609619839432204,0.6578505800513481,0.0111431144879628,0.0047461725551659,0.3926773860523598,0.0,0.5042699014207008,0.7299432309093006,0.8004296431346626,0.6915073439699069
10,0.3212050047609786,0.0,0.9533662860001336,0.0290071498489425,0.0077184482364256,0.2083731871530211,0.3374541287064989,0.1338665573655537,0.0106690198473919,0.1545756599427473,0.0314723387766825,0.630383879999083,0.995026372598208,0.2311878787908138,0.4697617077667341,0.4010121807551855,0.5158861845268639,0.4757356752625614,0.6562190768344837,0.0063947289303915,0.0019334030328711,0.3560119650876245,0.0,0.488302149003579,0.7035066745272159,0.8277749568852968,0.6237183325629619
11,0.3091454281970416,0.0010626309153737,0.9551610008660996,0.0308304091630038,0.0075656783112963,0.1986729077196936,0.3182358981921461,0.1352464033513984,0.0063614180203917,0.1219004876109516,0.0337046756715331,0.6044839132721099,0.9946120568458758,0.2146119393864815,0.4518348696159697,0.3980780255437568,0.46327127305194,0.471540275611897,0.6546197852887435,0.0032005018769685,0.0020083862945681,0.3413613108648985,0.0,0.4803971928917039,0.7017096750109576,0.8449319583603095,0.5544120081233668
12,0.329090783385605,0.0017432210502952,0.9572720930600084,0.0319720390340595,0.0076055587509998,0.1909632415492718,0.3065876790522722,0.1425781115359624,0.0048273906014085,0.0976587050802458,0.0312580345067241,0.5995228265544023,0.9945383846155552,0.211635094314504,0.4459342855988045,0.3990747343226375,0.4273432454541033,0.4593622360752376,0.6501753481818536,0.0021471180197825,0.0010626309153737,0.340233341683896,0.0,0.506085544355454,0.6936407818257698,0.8538556360107268,0.5150678962592657
13,0.3880282606546728,0.0046663722425399,0.9565810501391888,0.0445325715836712,0.008667536406062,0.1896989826734831,0.3011225884731505,0.1575892334262087,0.0045324008452891,0.0801350938743242,0.0423835759051879,0.5582478086926884,0.9948449983732198,0.2426592454645677,0.4318374636515465,0.4020511912830397,0.4430102088197913,0.4565390158786711,0.6537373902504382,0.0024381406830855,0.0025647716076528,0.3557602213617541,0.0,0.4953897302198271,0.6666162982188476,0.8551049100456428,0.5031990787579883
