year,opex_specific_fixed
2022,20.495030494352207
2023,20.414768384806365
2024,20.33450627526052
2025,20.254244165714674
2026,20.124508527657632
2027,19.99477288960059
2028,19.865037251543544
2029,19.735301613486502
2030,19.60556597542946
2031,19.468603793819657
2032,19.331641612209857
2033,19.194679430600054
2034,19.057717248990254
2035,18.92075506738045
2036,18.793056048357037
2037,18.665357029333627
2038,18.537658010310214
2039,18.409958991286803
2040,18.28225997226339
2041,18.18617050766982
2042,18.090081043076257
2043,17.99399157848269
2044,17.897902113889124
2045,17.801812649295556
2046,17.72142062923197
2047,17.64102860916839
2048,17.560636589104806
2049,17.480244569041226
2050,17.39985254897764
