year,capex_specific_storage_energy
2022,289.86142055159627
2023,269.1500802078038
2024,248.43873986401132
2025,227.72739952021888
2026,214.62337685939355
2027,201.5193541985682
2028,188.41533153774287
2029,175.31130887691754
2030,162.2072862160922
2031,155.87777499617584
2032,149.5482637762595
2033,143.21875255634313
2034,136.88924133642675
2035,130.5597301165104
2036,126.51241420148418
2037,122.46509828645796
2038,118.41778237143174
2039,114.37046645640551
2040,110.32315054137929
2041,108.50998028206891
2042,106.69681002275853
2043,104.88363976344816
2044,103.07046950413778
2045,101.2572992448274
2046,99.54937283461838
2047,97.84144642440937
2048,96.13352001420037
2049,94.42559360399136
2050,92.71766719378235
