year,opex_specific_fixed
2022,2.4711107559102152
2023,2.2603398285909737
2024,2.0495689012717317
2025,1.8387979739524896
2026,1.722881381832339
2027,1.6069647897121881
2028,1.4910481975920375
2029,1.375131605471887
2030,1.2592150133517361
2031,1.2054732148061085
2032,1.1517314162604808
2033,1.0979896177148531
2034,1.0442478191692255
2035,0.9905060206235978
2036,0.9652205226376976
2037,0.9399350246517975
2038,0.9146495266658972
2039,0.889364028679997
2040,0.8640785306940968
2041,0.850383343210133
2042,0.8366881557261692
2043,0.8229929682422054
2044,0.8092977807582415
2045,0.7956025932742777
2046,0.7819074057903139
2047,0.7682122183063501
2048,0.7545170308223864
2049,0.7408218433384226
2050,0.7271266558544588
