year,opex_specific_fixed
2022,56.32675703168136
2023,54.80465619252332
2024,53.282555353365275
2025,51.76045451420723
2026,50.4565186460071
2027,49.15258277780697
2028,47.848646909606835
2029,46.54471104140671
2030,45.24077517320657
2031,44.295548017700156
2032,43.35032086219375
2033,42.40509370668733
2034,41.45986655118092
2035,40.51463939567451
2036,39.74394421693442
2037,38.97324903819434
2038,38.20255385945425
2039,37.431858680714164
2040,36.66116350197408
2041,36.082978160718525
2042,35.50479281946297
2043,34.926607478207416
2044,34.34842213695186
2045,33.770236795696306
2046,33.19205145444075
2047,32.613866113185196
2048,32.03568077192964
2049,31.45749543067409
2050,30.879310089418535
