node,year_construction,capacity_existing_energy
AT,2049,91177.156643274
BE,2049,8185.328823237492
BG,2049,6258.545802094563
CZ,2049,22754.817341053098
DE,2049,235511.00287858603
DK,2049,4991.01526
ES,2049,31827.558396539753
FR,2049,102103.69371649576
HR,2049,6110.307716308838
HU,2049,66633.61762826241
IT,2049,195662.97720781216
NL,2049,101152.14163591324
PL,2049,34727.70236758037
PT,2049,3668.378789669895
RO,2049,31325.733078929057
SE,2049,3673.613348445104
SK,2049,55388.75115523585
UK,2049,13849.912320260757
