year,capex_specific_storage_energy
2022,75.883468159273
2023,75.883468159273
2024,75.883468159273
2025,75.883468159273
2026,75.883468159273
2027,75.883468159273
2028,75.883468159273
2029,75.883468159273
2030,75.883468159273
2031,76.03523509559155
2032,76.18700203191008
2033,76.33876896822864
2034,76.49053590454717
2035,76.64230284086572
2036,76.64230284086572
2037,76.64230284086572
2038,76.64230284086572
2039,76.64230284086572
2040,76.64230284086572
2041,76.79406977718428
2042,76.94583671350281
2043,77.09760364982137
2044,77.2493705861399
2045,77.40113752245846
2046,77.40113752245846
2047,77.40113752245846
2048,77.40113752245846
2049,77.40113752245846
2050,77.40113752245846
