node,year_construction,capacity_existing_energy
AT,2049,1556.065646117692
BE,2049,0.8112652
BG,2049,1452.631666834
CH,2049,3460.7326827400007
CZ,2049,346.95936114500006
DE,2049,38.0575135
EL,2049,1855.0
ES,2049,8491.220213277002
FI,2049,609.3469074000001
FR,2049,3016.2202445
HR,2049,1034.5653195500001
HU,2049,3.58187625
IE,2049,18.65208
IT,2049,1654.0887080362002
LT,2049,42.854658
LV,2049,46.33
NO,2049,40085.348997999994
PL,2049,25.148544
PT,2049,1118.4033360399999
RO,2049,1682.4052376875004
SE,2049,5166.465461299998
SI,2049,3.582723616
SK,2049,0.14372631
UK,2049,37.027620350999996
