year,capex_specific_conversion
2022,2527.3444444852207
2023,2527.3219456966553
2024,2527.2994469080895
2025,2527.276948119524
2026,2527.2396051675078
2027,2527.202262215491
2028,2527.1649192634745
2029,2527.1275763114577
2030,2527.0902333594413
2031,2527.0260194406583
2032,2526.9618055218752
2033,2526.8975916030927
2034,2526.8333776843097
2035,2526.7691637655266
2036,2526.655295839144
2037,2526.5414279127613
2038,2526.4275599863786
2039,2526.313692059996
2040,2526.199824133613
2041,2525.9934114316998
2042,2525.786998729786
2043,2525.5805860278724
2044,2525.3741733259585
2045,2525.167760624045
2046,2524.790964402261
2047,2524.414168180477
2048,2524.0373719586933
2049,2523.6605757369093
2050,2523.2837795151254
