year,opex_specific_fixed
2022,37.52602190970971
2023,37.525746924516135
2024,37.52547193932255
2025,37.52519695412897
2026,37.52474054027099
2027,37.524284126413015
2028,37.52382771255503
2029,37.52337129869706
2030,37.522914884839075
2031,37.522130048053945
2032,37.52134521126882
2033,37.52056037448369
2034,37.51977553769857
2035,37.51899070091344
2036,37.51759898181321
2037,37.51620726271298
2038,37.51481554361275
2039,37.51342382451252
2040,37.51203210541229
2041,37.50950928350001
2042,37.50698646158773
2043,37.50446363967546
2044,37.50194081776318
2045,37.4994179958509
2046,37.49481270869576
2047,37.490207421540624
2048,37.48560213438549
2049,37.48099684723035
2050,37.476391560075214
