year,opex_specific_variable
2022,1.0
2023,0.9999947485846968
2024,0.9999894971693936
2025,0.9999842457540902
2026,0.9999757647061319
2027,0.9999672836581736
2028,0.9999588026102154
2029,0.999950321562257
2030,0.9999418405142987
2031,0.999927650105698
2032,0.9999134596970972
2033,0.9998992692884963
2034,0.9998850788798955
2035,0.9998708884712948
2036,0.9998463684497669
2037,0.9998218484282393
2038,0.9997973284067118
2039,0.9997728083851841
2040,0.9997482883636564
2041,0.9997048583415992
2042,0.999661428319542
2043,0.9996179982974849
2044,0.9995745682754278
2045,0.9995311382533705
2046,0.9994533852069879
2047,0.9993756321606049
2048,0.9992978791142223
2049,0.9992201260678395
2050,0.9991423730214567
