lambda,RH_total_cost,Delta_vs_PF,Delta_%,gap_closed_%
0.0,1104296.5391218176,90467.88563780894,8.923390094264674,0.0
0.05,1103817.400052494,89988.74656848528,8.876129734471418,0.5296233751299432
0.1,1102635.0928595215,88806.43937551288,8.759511685759792,1.8365039158179395
0.2,1098101.66300947,84273.00952546147,8.312352312775774,6.8475968778013145
0.3,1092068.47455555,78239.82107154129,7.717262754674687,13.516469938540512
0.5,1088572.7152358915,74744.0617518829,7.372455048989386,17.380558609357664
0.7,1080906.5269932528,67077.87350924418,6.616292928665209,25.854491860467945
1.0,1060758.2391298737,46929.58564586507,4.6289464678860845,48.125696411487766
1.5,1054517.2071883874,40688.55370437878,4.0133560601737885,55.02431230981047
2.0,1050126.6836182857,36298.03013427707,3.5802923905868487,59.877441726009394
5.0,1228085.7733550477,214257.11987103906,21.13346462784883,-136.83223981692714
10.0,1207763.964033641,193935.3105496323,19.129002705060287,-114.36923078545074
50.0,1515451.759578913,501623.10609490436,49.47809517624929,-454.4764338841392
100.0,1534316.3065073325,520487.65302332386,51.338818570048794,-475.32863662483805
